1A|35.35247|136.973373
1B|35.301033|137.002777
1C|35.298954|136.94664
1D|35.119911|137.029266
1E|35.188705|136.809784
1G|35.3251|136.895706
1H|35.34903|136.941666
1I|35.308201|136.892395
1J|35.342197|136.874588
1K|35.352619|136.869812
2A|35.31641|136.873947
2B|35.353722|136.875168
2C|35.371872|136.907837
2D|35.323299|136.86908
3A|35.293083|136.885376
3B|35.329754|136.943909
3C|35.314816|136.893631
3D|35.154476|136.850098
41A|35.299957|136.822708
41B|35.323132|136.868393
41C|35.33247|136.866745
41E|35.332783|136.859161
42A|35.3391|136.869308
42B|35.313831|136.878494
43A|35.225266|136.883301
43B|35.339359|136.871674
44A1|35.303158|136.803268
44A2|35.294224|136.82579
44A3|35.303356|136.803253
44B|35.330742|136.905304
44C|35.235859|136.881241
44D|35.274368|136.920776
5A|35.311146|136.802643
5B|35.334476|136.852432
5C|35.323299|136.867432
5D|35.354492|136.88533
5E|35.360222|136.858276
5F|35.368015|136.885666
5G|35.342247|136.870865
5H|35.315956|136.869095
5I|35.336178|136.867859
5J|35.324711|136.881989
5K|35.34539|136.880692
5L|35.348694|136.863403
5M|35.345955|136.852081
5N|35.311016|136.875839
5O|35.347504|136.864716
5P|35.352188|136.85791
5Q|35.363976|136.874802
